sme_id,year_month,inflows,outflows,net_cashflow,txn_count,roll3_avg_cf,roll3_volatility
SME0001,2023-01,17078.940000000002,11356.990000000002,5721.950000000001,49,5721.950000000001,
SME0001,2023-02,11260.41,11467.52,-207.11,45,2757.4200000000005,4192.478532061912
SME0001,2023-03,14315.56,16319.899999999998,-2004.3399999999997,51,1170.166666666667,4043.0876262373213
SME0001,2023-04,13688.01,13031.98,656.03,45,-518.4733333333332,1357.240759126153
SME0001,2023-05,17004.18,15436.44,1567.7399999999996,52,73.1433333333332,1856.0055310352218
SME0001,2023-06,17662.34,15076.14,2586.1999999999994,48,1603.323333333333,965.5768676979253
SME0001,2023-07,15039.24,13179.489999999998,1859.7500000000005,46,2004.5633333333328,524.4457732057123
SME0001,2023-08,19375.340000000007,15902.47,3472.8699999999994,52,2639.6066666666666,807.8850398623166
SME0001,2023-09,16676.57,15512.3,1164.2700000000004,47,2165.6299999999997,1184.3058814343547
SME0001,2023-10,17884.82,13157.96,4726.86,49,3121.3333333333335,1807.1235148803016
SME0001,2023-11,20228.23,18572.690000000002,1655.5399999999995,49,2515.556666666667,1930.7338960181273
SME0001,2023-12,24373.660000000003,22465.070000000003,1908.5899999999997,47,2763.6633333333325,1704.8795968141967
SME0001,2024-01,18352.94,14229.86,4123.08,54,2562.403333333333,1357.4948688791933
SME0001,2024-02,13807.01,11477.99,2329.0200000000004,46,2786.896666666667,1176.1078910683907
SME0001,2024-03,14091.48,13997.839999999998,93.63999999999987,47,2181.9133333333334,2018.7439057328045
SME0001,2024-04,16628.120000000003,12563.060000000001,4065.0600000000004,49,2162.5733333333337,1990.9351003318363
SME0001,2024-05,17777.399999999998,16177.29,1600.1100000000004,50,1919.6033333333335,2004.8943105892988
SME0001,2024-06,17648.780000000002,15832.160000000002,1816.62,46,2493.93,1364.9381864025945
SME0001,2024-07,20263.649999999998,16388.78,3874.870000000001,54,2430.5333333333333,1255.5080445912477
SME0001,2024-08,19357.02,12752.59,6604.429999999999,47,4098.64,2401.736019778193
SME0001,2024-09,16619.489999999998,15629.93,989.5599999999996,47,3822.9533333333334,2807.795003990379
SME0001,2024-10,19434.22,15960.830000000002,3473.3900000000003,52,3689.1266666666666,2813.644968938571
SME0001,2024-11,19526.44,15806.37,3720.0699999999997,46,2727.673333333333,1510.295078861524
SME0001,2024-12,33374.619999999995,21020.890000000003,12353.73,50,6515.73,5057.360552264392
SME0002,2023-01,35922.51,27485.84,8436.67,30,8436.67,
SME0002,2023-02,16843.12,34233.25,-17390.13,32,-4476.7300000000005,18262.305416348725
SME0002,2023-03,44748.7,34173.44,10575.259999999998,32,540.5999999999991,15565.240137778152
SME0002,2023-04,45870.01,32004.32,13865.69,30,2350.2733333333326,17174.6724923136
SME0002,2023-05,32502.94,46443.7,-13940.759999999998,36,3500.063333333333,15193.533864925348
SME0002,2023-06,46932.68,39031.45,7901.229999999998,27,2608.7200000000007,14639.250731362587
SME0002,2023-07,33304.15,33928.62,-624.4699999999971,28,-2221.333333333332,11008.206537353546
SME0002,2023-08,54539.51,45558.66,8980.849999999999,33,5419.203333333334,5261.737864634969
SME0002,2023-09,36709.25,32369.46,4339.79,32,4232.056666666667,4803.566167852106
SME0002,2023-10,34518.82,31675.260000000002,2843.5599999999995,29,5388.066666666667,3200.1164218561453
SME0002,2023-11,28798.82,42595.79,-13796.97,32,-2204.5399999999995,10067.174431383419
SME0002,2023-12,34810.87,25600.090000000004,9210.780000000002,28,-580.8766666666658,11879.992208694139
SME0002,2024-01,36062.81,29313.230000000003,6749.58,37,721.1300000000014,12633.123013233904
SME0002,2024-02,25112.359999999997,33727.05,-8614.69,29,2448.5566666666678,9659.75913082896
SME0002,2024-03,17875.07,29202.789999999997,-11327.720000000001,28,-4397.610000000001,9748.590493876543
SME0002,2024-04,21900.14,33386.41,-11486.269999999999,33,-10476.226666666667,1614.0859941878668
SME0002,2024-05,26887.01,44197.549999999996,-17310.54,32,-13374.843333333332,3409.335083947225
SME0002,2024-06,31924.54,33166.15,-1241.6099999999983,26,-10012.806666666665,8135.167391162486
SME0002,2024-07,29433.440000000002,39663.01000000001,-10229.57,31,-9593.906666666664,8053.302350044573
SME0002,2024-08,34641.479999999996,41027.37,-6385.890000000001,29,-5952.356666666666,4509.636305039848
SME0002,2024-09,24447.38,32447.550000000003,-8000.170000000003,26,-8205.210000000001,1930.0259160954547
SME0002,2024-10,35921.94,36781.41,-859.4700000000017,32,-5081.843333333334,3744.703246471401
SME0002,2024-11,22869.39,38325.84,-15456.45,31,-8105.363333333335,7299.0585357382515
SME0002,2024-12,47887.62,28800.92,19086.7,37,923.5933333333342,17340.46680797935
SME0003,2023-01,81653.17,71933.28,9719.89,24,9719.89,
SME0003,2023-02,159868.68,118146.69,41721.98999999999,30,25720.939999999995,22628.901922210007
SME0003,2023-03,60777.759999999995,77659.03,-16881.270000000008,22,11520.20333333333,29343.080389259296
SME0003,2023-04,109059.37000000001,70805.98000000001,38253.39,27,21031.369999999995,32879.08150051032
SME0003,2023-05,134114.56,126898.54000000001,7216.020000000004,37,9529.38,27640.032727840615
SME0003,2023-06,30800.779999999995,72888.31,-42087.53,22,1127.2933333333349,40515.06264252387
SME0003,2023-07,122913.5,72632.48,50281.020000000004,28,5136.503333333337,46219.3741784853
SME0003,2023-08,115013.17,123064.96999999997,-8051.799999999992,35,47.23000000000442,46713.841337245
SME0003,2023-09,74910.13999999998,75353.6,-443.4600000000064,28,13928.58666666667,31711.137890806334
SME0003,2023-10,84657.53,107365.34999999999,-22707.82,24,-10401.026666666665,11316.562243054777
SME0003,2023-11,108540.44,128076.38000000002,-19535.94,31,-14229.073333333334,12043.569110348182
SME0003,2023-12,146775.31999999998,72354.84,74420.48000000001,33,10725.57333333334,55184.20115522316
SME0003,2024-01,59819.149999999994,76896.73,-17077.580000000005,23,12602.320000000002,53550.2060015795
SME0003,2024-02,76579.1,115547.27000000002,-38968.17,31,6124.9100000000035,60149.92222651414
SME0003,2024-03,93015.71999999999,75580.51999999999,17435.199999999997,25,-12870.183333333334,28436.098130232866
SME0003,2024-04,99092.84999999999,74038.8,25054.049999999996,33,1173.6933333333327,34971.96895707522
SME0003,2024-05,67752.92,127777.73000000001,-60024.810000000005,28,-5845.186666666668,47075.31632646809
SME0003,2024-06,123235.57999999999,74936.23999999999,48299.340000000004,29,4442.860000000001,57027.59185883357
SME0003,2024-07,79011.15999999999,75911.13,3100.029999999999,31,-2875.146666666665,54408.707211750894
SME0003,2024-08,49005.41,119650.65,-70645.23999999999,27,-6415.289999999994,60040.48021019569
SME0003,2024-09,64178.43,102196.07,-38017.64,28,-35187.61666666666,36953.99823961723
